LOCATION;Country;SUBJECT;Subject;MEASURE;Measure;FREQUENCY;Frequency;TIME;Period;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2016-Q1;Q1-2016;SEK;Swedish Krona;6;Millions;2021;2021;340675;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2016-Q2;Q2-2016;SEK;Swedish Krona;6;Millions;2021;2021;344459;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2016-Q3;Q3-2016;SEK;Swedish Krona;6;Millions;2021;2021;343442;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2016-Q4;Q4-2016;SEK;Swedish Krona;6;Millions;2021;2021;344463;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2017-Q1;Q1-2017;SEK;Swedish Krona;6;Millions;2021;2021;344008;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2017-Q2;Q2-2017;SEK;Swedish Krona;6;Millions;2021;2021;344274;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2017-Q3;Q3-2017;SEK;Swedish Krona;6;Millions;2021;2021;346481;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2017-Q4;Q4-2017;SEK;Swedish Krona;6;Millions;2021;2021;346607;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2018-Q1;Q1-2018;SEK;Swedish Krona;6;Millions;2021;2021;346711;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2018-Q2;Q2-2018;SEK;Swedish Krona;6;Millions;2021;2021;349772;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2018-Q3;Q3-2018;SEK;Swedish Krona;6;Millions;2021;2021;349081;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2018-Q4;Q4-2018;SEK;Swedish Krona;6;Millions;2021;2021;350266;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2019-Q1;Q1-2019;SEK;Swedish Krona;6;Millions;2021;2021;352338;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2019-Q2;Q2-2019;SEK;Swedish Krona;6;Millions;2021;2021;348993;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2019-Q3;Q3-2019;SEK;Swedish Krona;6;Millions;2021;2021;349054;;
