LOCATION;Country;TRANSACTION;Transaction;SECTOR;Sector;MEASURE;Measure;ADJUSTED;Adjusted;TIME;Time;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2015-Q2;Q2-2015;PC;Percentage;0;Units;;;60.8;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2015-Q3;Q3-2015;PC;Percentage;0;Units;;;59.4;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2015-Q4;Q4-2015;PC;Percentage;0;Units;;;59.6;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2016-Q1;Q1-2016;PC;Percentage;0;Units;;;58.7;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2016-Q2;Q2-2016;PC;Percentage;0;Units;;;59.7;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2016-Q3;Q3-2016;PC;Percentage;0;Units;;;58;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2016-Q4;Q4-2016;PC;Percentage;0;Units;;;58.8;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2017-Q1;Q1-2017;PC;Percentage;0;Units;;;58.3;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2017-Q2;Q2-2017;PC;Percentage;0;Units;;;57.9;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2017-Q3;Q3-2017;PC;Percentage;0;Units;;;56.3;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2017-Q4;Q4-2017;PC;Percentage;0;Units;;;58;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2018-Q1;Q1-2018;PC;Percentage;0;Units;;;56.3;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2018-Q2;Q2-2018;PC;Percentage;0;Units;;;56.5;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2018-Q3;Q3-2018;PC;Percentage;0;Units;;;56.3;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2018-Q4;Q4-2018;PC;Percentage;0;Units;;;57.5;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2019-Q1;Q1-2019;PC;Percentage;0;Units;;;56;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2019-Q2;Q2-2019;PC;Percentage;0;Units;;;55.4;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2019-Q3;Q3-2019;PC;Percentage;0;Units;;;53.7;;
